animalId,animalName,animalType,animalGender,animalBreed,animalColor,address,isDead
A435579,Lilly,Cat,Spayed Female,Domestic Shorthair,Blue / White,21615 64TH AVE S,
A515112,Cloud,Rabbit,Spayed Female,Rabbit,White,21615 64TH AVE S,
A467465,Petal,Cat,Spayed Female,Domestic Longhair,Black / White,21615 64TH AVE S,
A517309,,Dog,Female,Border Collie / Mix,Brown / White,200 SW ROXBURY ST,
A517052,,Cat,Male,Domestic Longhair,Black,25600 29TH AVE S,
A516008,Cassidy,Cat,Spayed Female,Domestic Shorthair,Tortie / White,16800 34TH AVE S,
A516604,Mason,Dog,Male,American Pit Bull Terrier,Unknown,SE 214TH ST & 120TH AVE. SE,
A516634,,Cat,Female,Domestic Shorthair,Tortie,3000 S 253RD ST,
A516241,Rambo,Cat,Neutered Male,Domestic Shorthair,Black / White,3700 S 256TH CT,
A516793,,Cat,Spayed Female,Domestic Shorthair,Black,11100 SE 256TH ST,
A517121,,Cat,Spayed Female,Domestic Mediumhair / Siamese,White / Seal Pt,14000 24TH AVE S,
A516744,Baley,Cat,Neutered Male,Domestic Shorthair,Black / White,,
A514568,Lulu,Cat,Spayed Female,Domestic Shorthair,Gray / White,,TRUE
A516523,,Cat,Male,Domestic Shorthair,Gray,3700 S 170TH ST,
A516744,Baley,Cat,Neutered Male,Domestic Shorthair,Black / White,15500 SE GREEN VALLEY RD,
A512586,Missy,Cat,Spayed Female,Domestic Shorthair,White / Black,,
A517270,,Dog,Male,Chow Chow / Akita,Tan / Gray,11000 SE KENT KANGLEY RD,
A515790,,Cat,Neutered Male,Domestic Shorthair,Black / White,,
A473316,Buster,Dog,Neutered Male,Labrador Retriever / Mix,Apricot,,
A449967,Penny,Cat,Spayed Female,Domestic Shorthair,Calico,21615 64TH AVE S,
A517021,,Cat,Spayed Female,Domestic Shorthair,Gray,21600 64TH AVE S,
A514735,Jack,Cat,Neutered Male,Domestic Shorthair,Black / White,12040 NE 85TH ST,
A517155,,Cat,Female,Domestic Longhair,Gray Tabby,26000 186TH PL SE,
A517143,Juno,Dog,Male,Siberian Husky,Red,30400 38TH AVE S,
